Zfr	9883.35
Ddc	6020.18
Cops3	24038.0
Cops4	15492.4
Cops6	5390.21
Men1	2534.27
Hnrnpa2b1	257393.0
Comt	4360.94
Becn1	2295.5
Cacng2	8194.39
Parg	2080.36
Pak1	28130.2
Lamtor3	3388.35
Brd7	885.605
Psmc3	13543.8
Pcdha10;Pcdha4;Pcdha7;Pcdha9	1196.35
Clpp	7583.93
Hcn2	9484.79
Hcn1	3127.59
Hcn3	1491.98
Ctbp1	35449.7
Map7	5071.59
Hsd17b7	719.901
Bsn	35871.7
Birc6	2078.67
Gdap1	25958.5
Tom1	7249.87
Rpp30	1375.24
Dcx	1029.15
Stam2	1554.31
Fut9	975.3219999999999
Shd	1381.52
Idh1	25533.1
Akap10	2926.01
Arl6	1939.02
Rbbp9	508.676
Mpp3	5942.25
Syn1	234822.0
Lin7b	13676.3
Lin7c	35359.2
Gnpda1	8307.87
Yme1l1	1929.67
Stx8	3375.49
Olfm1	11499.5
Cpd	4533.97
Sh3pxd2a	3052.99
Itm2b	4070.1
Coro1a	27724.8
Cope	3263.99
Pde4a	3875.59
Rbm3	7219.78
Fhit	3222.18
Lancl1	38334.9
Dnajb5	1156.11
Vti1a	2757.87
Mt-Cyb	26923.4
Mtco1	3257.97
Mtco2	289417.0
mt-Co3	10684.3
Hprt1	21400.1
Ca2	191577.0
	3398.54
	1373.97
Thy1	186717.0
Hba	41859.0
H3-3b;H3-5;H3c11;H3c15	24322.8
Col4a1	5685.54
Lamc1	10068.6
Lamb1	1308.65
Krt10	41225.3
Mtnd1	14311.3
mt-Nd2	756.691
Mtnd4	8288.1
Mtnd5	6438.51
Mtatp8	44481.2
Gfap	70320.3
Krt1	5944.0
Mbp	30552.5
Araf	2560.84
Saa3	10637.0
Slc4a1	945.651
Prnp	7539.31
Aldoc	47497.2
Aldoa	220732.0
Prkaca	11016.5
Got1	106411.0
Got2	226492.0
Src	10757.3
Kit	2209.86
Itgam	1839.53
Myl1	577.0435
Ldha	124019.0
Nr3c1	2103.4
Gpi	126164.0
Me1	8784.34
Gap43	23994.5
Ckm	2913.73
Anxa2	3032.46
Alb	11958.8
Serpina1a;Serpina1b;Serpina1c;Serpina1e	1240.49
Hsp90aa1	195504.0
Ercc1	1203.08
Pdia4	5239.35
Aprt	2383.51
Hck	10236.0
Hsp90b1	132870.0
Col4a2	21307.5
Apoe	21447.4
Sod1	57875.6
Mdh2	288271.0
Camk4	9308.49
Nefl	162788.0
Nefm	110758.0
Nras	3949.03
Gnai2	15348.1
Polr2a	3105.41
Itgb1	2547.2
P4hb	13476.2
Alpl	1044.0
